Filter,T,d,n,is_64_bit,average_time,compile_time,Value
Sqrt Inf Filter,122,2,3,True,0.028271579742431642,5.761699199676514,-5.7588269016808475e+41
Kalman Filter,123,2,3,True,0.024558591842651366,0.47211766242980957,-927.5513012302
Information Filter,123,2,3,True,0.040481042861938474,5.034438133239746,-3.969664137398756e+44
Sqrt Filter,123,2,3,True,0.019918417930603026,0.39275503158569336,-927.5513012302001
Sqrt Inf Filter,123,2,3,True,0.027228760719299316,5.278434991836548,-5.7588269016808475e+41
Kalman Filter,124,2,3,True,0.023375391960144043,0.47248339653015137,-934.2441771848723
Information Filter,124,2,3,True,0.04049315452575684,4.9474968910217285,-5.3420976502716374e+45
Sqrt Filter,124,2,3,True,0.020071935653686524,0.44402647018432617,-934.2441771848725
Sqrt Inf Filter,124,2,3,True,0.0267284631729126,5.509136915206909,-1.325253430799784e+43
Kalman Filter,125,2,3,True,0.023399710655212402,0.4273409843444824,-940.9370531395447
Information Filter,125,2,3,True,0.04026563167572021,6.414416551589966,-6.935597039861911e+45
Sqrt Filter,125,2,3,True,0.020098328590393066,0.4602832794189453,-940.9370531395448
Sqrt Inf Filter,125,2,3,True,0.0275592565536499,5.6973557472229,-2.781486157962382e+43
Kalman Filter,126,2,3,True,0.023618221282958984,0.4067094326019287,-947.629929094217
Information Filter,126,2,3,True,0.03991334438323975,4.687652587890625,-9.859774526127847e+46
Sqrt Filter,126,2,3,True,0.020679569244384764,0.41770124435424805,-947.6299290942171
Sqrt Inf Filter,126,2,3,True,0.030038905143737794,4.724622488021851,-6.395688432508545e+44
Kalman Filter,127,2,3,True,0.025265216827392578,0.40918421745300293,-954.3228050488893
Information Filter,127,2,3,True,0.042557573318481444,4.779280662536621,-1.1800907244424376e+47
Sqrt Filter,127,2,3,True,0.02128865718841553,0.4828944206237793,-954.3228050488894
Sqrt Inf Filter,127,2,3,True,0.029091238975524902,5.661982297897339,-3.85214709589042e+45
Kalman Filter,128,2,3,True,0.025798559188842773,0.48261547088623047,-961.0156810035617
Information Filter,128,2,3,True,0.042996907234191896,4.999557971954346,-1.6196544483936635e+48
Sqrt Filter,128,2,3,True,0.02062036991119385,0.3991963863372803,-961.0156810035618
Sqrt Inf Filter,128,2,3,True,0.027507877349853514,5.321093320846558,-1.005881295412424e+46
Kalman Filter,129,2,3,True,0.02566208839416504,0.49159979820251465,-967.708556958234
Information Filter,129,2,3,True,0.04275679588317871,4.803860902786255,-2.1400128368831927e+48
Sqrt Filter,129,2,3,True,0.020412278175354005,0.40688395500183105,-967.7085569582341
Sqrt Inf Filter,129,2,3,True,0.02941164970397949,5.1298298835754395,-2.284355677330034e+46
Kalman Filter,130,2,3,True,0.024123764038085936,0.4121391773223877,-974.4014329129063
Information Filter,130,2,3,True,0.043189191818237306,4.7123026847839355,-2.866224325921841e+49
Sqrt Filter,130,2,3,True,0.023027992248535155,0.4561655521392822,-974.4014329129064
Sqrt Inf Filter,130,2,3,True,0.029643774032592773,5.87858247756958,-1.4938225277149683e+47
Kalman Filter,131,2,3,True,0.024329996109008788,0.41498875617980957,-981.0943088675787
Information Filter,131,2,3,True,0.04225094318389892,4.742327928543091,-3.8157596643221754e+49
Sqrt Filter,131,2,3,True,0.02073497772216797,0.4104797840118408,-981.0943088675788
Sqrt Inf Filter,131,2,3,True,0.0280789852142334,5.45906400680542,-5.1402029374269265e+47
Kalman Filter,132,2,3,True,0.025977540016174316,0.49455761909484863,-987.787184822251
Information Filter,132,2,3,True,0.04252190589904785,4.874686002731323,-5.012170288579087e+50
Sqrt Filter,132,2,3,True,0.021204185485839844,0.4090144634246826,-987.7871848222511
Sqrt Inf Filter,132,2,3,True,0.03094487190246582,5.4888105392456055,-3.7088264824283015e+48
Kalman Filter,133,2,3,True,0.024666142463684083,0.4459066390991211,-994.4800607769233
Information Filter,133,2,3,True,0.04201357364654541,5.056509017944336,-6.200539930158566e+50
Sqrt Filter,133,2,3,True,0.021026968955993652,0.41754746437072754,-994.4800607769234
Sqrt Inf Filter,133,2,3,True,0.02889552116394043,5.659902811050415,-1.4116803939456475e+49
Kalman Filter,134,2,3,True,0.0255429744720459,0.5059783458709717,-1001.1729367315957
Information Filter,134,2,3,True,0.04421000480651856,5.063740491867065,-8.74779143894174e+51
Sqrt Filter,134,2,3,True,0.021453428268432616,0.42152881622314453,-1001.1729367315958
Sqrt Inf Filter,134,2,3,True,0.030515575408935548,5.297707796096802,-8.095707440026665e+49
Kalman Filter,135,2,3,True,0.025633621215820312,0.48450183868408203,-1007.865812686268
