K,prop_scale,j,acceptance_rate,par_time,seq_time,success,iterations
100,0.08572142857142857,5,0.107999995,4.457592725753784,10.883182287216187,True,3237
100,0.08572142857142857,6,0.1165,4.478213548660278,10.837707996368408,True,3241
100,0.08572142857142857,7,0.1091,4.481719732284546,10.82855772972107,True,3256
100,0.08572142857142857,8,0.1055,4.411030054092407,10.82689619064331,True,3277
100,0.08572142857142857,9,0.1063,4.366413354873657,10.82462453842163,True,3248
100,0.09184367346938775,0,0.1078,4.3532187938690186,10.87412142753601,True,3174
100,0.09184367346938775,1,0.0999,4.267120361328125,10.822487592697144,True,3135
100,0.09184367346938775,2,0.1051,4.466421842575073,10.824815273284912,True,3267
100,0.09184367346938775,3,0.1092,4.397218704223633,10.835196733474731,True,3204
100,0.09184367346938775,4,0.1003,4.3871989250183105,10.87358832359314,True,3170
100,0.09184367346938775,5,0.103999995,4.391472816467285,10.833295106887817,True,3233
100,0.09184367346938775,6,0.10349999,4.450606107711792,10.870463848114014,True,3264
100,0.09184367346938775,7,0.0959,4.432865381240845,10.90393853187561,True,3239
100,0.09184367346938775,8,0.0991,4.4599995613098145,10.91421914100647,True,3260
100,0.09184367346938775,9,0.1078,4.405910015106201,10.936970233917236,True,3198
100,0.09796591836734693,0,0.0995,4.390981912612915,10.955796241760254,True,3212
100,0.09796591836734693,1,0.085999995,4.415223121643066,10.886186361312866,True,3192
100,0.09796591836734693,2,0.0938,4.519437789916992,10.831246137619019,True,3293
100,0.09796591836734693,3,0.1046,4.342836141586304,10.834306240081787,True,3153
100,0.09796591836734693,4,0.0938,4.350413799285889,10.82046103477478,True,3169
100,0.09796591836734693,5,0.0901,4.320970773696899,10.823760271072388,True,3213
100,0.09796591836734693,6,0.0971,4.319923162460327,10.828710794448853,True,3190
100,0.09796591836734693,7,0.096,4.447185039520264,10.872357368469238,True,3249
100,0.09796591836734693,8,0.092999995,4.48611307144165,10.88341212272644,True,3267
100,0.09796591836734693,9,0.0969,4.422587156295776,10.831126928329468,True,3230
100,0.10408816326530612,0,0.0907,4.357624292373657,10.853143692016602,True,3199
100,0.10408816326530612,1,0.0813,4.288886785507202,10.852249145507812,True,3109
100,0.10408816326530612,2,0.0937,4.439221382141113,10.862900018692017,True,3260
